,Item,Category,Description,Price,Size,Crust,calories
44,Veggie Paradise,Best Sellers,"The awesome foursome! Golden corn, black olives, capsicum, red paprika",259,Regular,Fresh Pan Pizza,3
45,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,499,Large,New Hand Tossed,9
46,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,309,Medium,New Hand Tossed,6
47,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,359,Medium,100% Wheat Thin Crust,5
48,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,408,Medium,Cheese Burst,10
49,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,349,Medium,Fresh Pan Pizza,7
50,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,169,Regular,New Hand Tossed,2
51,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,199,Regular,100% Wheat Thin Crust,1
52,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,244,Regular,Cheese Burst,6
53,Cheese n Corn,Best Sellers,Sweet & Juicy Golden corn and 100% real mozzarella cheese in a delectable combination !,199,Regular,Fresh Pan Pizza,3
54,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,599,Large,New Hand Tossed,9
55,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,399,Medium,New Hand Tossed,6
56,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,449,Medium,100% Wheat Thin Crust,5
57,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,498,Medium,Cheese Burst,10
58,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,439,Medium,Fresh Pan Pizza,7
59,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,229,Regular,New Hand Tossed,2
60,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,259,Regular,100% Wheat Thin Crust,1
61,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,304,Regular,Cheese Burst,6
62,Pepper Barbecue Chicken,Best Sellers,Pepper barbecue chicken for that extra zing,259,Regular,Fresh Pan Pizza,3
63,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",539,Large,New Hand Tossed,9
64,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",339,Medium,New Hand Tossed,6
65,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",389,Medium,100% Wheat Thin Crust,5
66,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",438,Medium,Cheese Burst,10
67,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",379,Medium,Fresh Pan Pizza,7
68,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",189,Regular,New Hand Tossed,2
69,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",219,Regular,100% Wheat Thin Crust,1
70,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",264,Regular,Cheese Burst,6
71,Chicken Sausage,Best Sellers,"American classic! Spicy, herbed chicken sausage on pizza",219,Regular,Fresh Pan Pizza,3
72,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,699,Large,New Hand Tossed,9
73,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,459,Medium,New Hand Tossed,6
74,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,509,Medium,100% Wheat Thin Crust,5
75,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,558,Medium,Cheese Burst,10
76,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,499,Medium,Fresh Pan Pizza,7
77,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,249,Regular,New Hand Tossed,2
78,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,279,Regular,100% Wheat Thin Crust,1
79,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,324,Regular,Cheese Burst,6
80,The Unthinkable Pizza,Veg Pizza,Loaded with Plant Based Protein topping along with Black Olives & Red Paprika enjoy this unique 100% Vegetarian pizza with a 100% Chicken like taste!,279,Regular,Fresh Pan Pizza,3
81,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,839,Large,New Hand Tossed,9
82,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,579,Medium,New Hand Tossed,6
83,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,629,Medium,100% Wheat Thin Crust,5
84,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,619,Medium,Fresh Pan Pizza,7
85,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,319,Regular,New Hand Tossed,2
86,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,349,Regular,100% Wheat Thin Crust,1
87,The Cheese Dominator,Veg Pizza,Loaded with 1 Pound of Mozzarella and gooey Liquid Cheese on a Classic Large Pizza topped with a generous helping of herb sprinkle,349,Regular,Fresh Pan Pizza,3
88,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",839,Large,New Hand Tossed,9
89,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",579,Medium,New Hand Tossed,6
90,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",629,Medium,100% Wheat Thin Crust,5
91,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",619,Medium,Fresh Pan Pizza,7
92,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",319,Regular,New Hand Tossed,2
93,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",349,Regular,100% Wheat Thin Crust,1
94,The 4 Cheese Pizza,Veg Pizza,"Cheese Overloaded pizza with 4 different varieties of cheese and 4 times the cheese of a normal pizza, including a spicy hit of Ghost Pepper flavoured Cheese",349,Regular,Fresh Pan Pizza,3
95,Margherita,Veg Pizza,A classic delight with 100% Real mozzarella cheese,399,Large,New Hand Tossed,9
